UserID,MoviesID,Ratings,Titles,Poster_path
311.0,155,4.5,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
467.0,155,3.0,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
472.0,155,3.0,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
516.0,155,4.0,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
547.0,155,2.0,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
552.0,155,3.0,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
564.0,155,2.0,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
602.0,155,3.0,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
659.0,155,3.0,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
2.0,550,3.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
19.0,550,3.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
86.0,550,4.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
110.0,550,4.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
412.0,550,2.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
416.0,550,3.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
487.0,550,3.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
518.0,550,2.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
534.0,550,2.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
564.0,550,5.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
652.0,550,5.0,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
15.0,680,2.0,Pulp Fiction,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
17.0,680,4.5,Pulp Fiction,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
255.0,680,4.0,Pulp Fiction,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
408.0,680,5.0,Pulp Fiction,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
481.0,680,4.0,Pulp Fiction,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
564.0,680,4.0,Pulp Fiction,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
182.0,13,3.0,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
213.0,13,2.5,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
287.0,13,4.5,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
402.0,13,4.5,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
516.0,13,3.0,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
518.0,13,5.0,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
564.0,13,4.0,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
595.0,13,5.0,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
7.0,671,4.0,Harry Potter and the Philosopher's Stone,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
